,Year Built,lat,lng
371,1916,61.213293890983,-149.912066269525
778,1913,61.21263594086,-149.90951399013
809,1923,61.207861692536,-149.899426019349
907,1916,61.208399131003,-149.904836585343
2905,1915,61.227668203221,-149.885539765365
2906,1915,61.227769782692,-149.886245027704
3104,1916,61.221305035557,-149.893266795128
3855,1925,61.211425059537,-149.887546062172
25133,1915,61.218537833081605,-149.905920917389
26630,1920,61.191763558781,-149.940511484305
37062,1915,61.218537833082,-149.905920917389
37077,1915,61.217245463913,-149.904865486826
53229,1915,61.218537833081605,-149.905920917389
67781,1919,61.314231032182,-149.533748041511
87737,1920,61.191763558781,-149.940511484305
93874,1915,61.218537833081605,-149.905920917389
97707,1915,61.218537833082,-149.905920917389
98151,1916,61.213293890983,-149.912066269525
98557,1913,61.21263594086,-149.90951399013
98588,1923,61.207861692536,-149.899426019349
98686,1916,61.208399131003,-149.904836585343
99539,1916,61.21329389098259,-149.912066269525
100692,1915,61.227668203221,-149.885539765365
100693,1915,61.227769782692,-149.886245027704
100893,1916,61.221305035557,-149.893266795128
101657,1925,61.211425059537,-149.887546062172
117080,1900,61.13504196302,-149.945527579819
145811,1919,61.314231032182,-149.533748041511
155625,1913,61.21263594085958,-149.90951399013
155646,1923,61.20786169253645,-149.89942601934902
155728,1916,61.20839913100271,-149.904836585343
157259,1915,61.22766820322117,-149.885539765365
157260,1915,61.22776978269216,-149.886245027704
157405,1916,61.221305035556654,-149.893266795128
158004,1925,61.21142505953728,-149.88754606217202
176931,1925,61.21142505953728,-149.88754606217202
181428,1900,61.13504196302007,-149.945527579819
205316,1919,61.31423103218217,-149.53374804151102
212922,1916,61.21329389098257,-149.912066269525
212925,1923,61.20786169253645,-149.89942601934902
214115,1916,61.20839913100271,-149.904836585343
214991,1916,61.21329389098257,-149.912066269525
220609,1923,61.20786169253645,-149.89942601934902
229967,1913,61.21263594085957,-149.90951399013
233026,1920,61.19176355878128,-149.940511484305
241724,1915,61.22766820322114,-149.885539765365
241738,1915,61.22776978269214,-149.886245027704
242395,1920,61.19176355878128,-149.940511484305
243896,1916,61.221305035556654,-149.893266795128
254204,1916,61.20839913100271,-149.904836585343
254602,1900,61.13504196302007,-149.945527579819
285636,1920,61.19176355878128,-149.940511484305
294133,1925,61.21142505953728,-149.88754606217202
297655,1916,61.221305035556654,-149.893266795128
300346,1915,61.22776978269214,-149.886245027704
311640,1915,61.218537833081605,-149.905920917389
318333,1915,61.22766820322114,-149.885539765365
318334,1915,61.22776978269214,-149.886245027704
325434,1919,61.31423103218217,-149.53374804151102
345779,1900,61.13504196302007,-149.945527579819
358886,1900,61.13504196302007,-149.945527579819
359351,1916,61.221305035556654,-149.893266795128
366364,1916,61.21329389098257,-149.912066269525
373192,1920,61.19176355878128,-149.940511484305
378824,1913,61.21263594085957,-149.90951399013
417866,1925,61.21142505953728,-149.88754606217202
418417,1913,61.21263594085957,-149.90951399013
420350,1923,61.20786169253645,-149.89942601934902
421391,1919,61.31423103218217,-149.53374804151102
430795,1916,61.20839913100271,-149.904836585343
430998,1915,61.22766820322117,-149.885539765365
449392,1919,61.31423103218217,-149.53374804151102
